time,temperature_2m
2025-02-12T00:00,0.2
2025-02-12T01:00,0.4
2025-02-12T02:00,-0.2
2025-02-12T03:00,-0.3
2025-02-12T04:00,-0.7
2025-02-12T05:00,-0.7
2025-02-12T06:00,-0.9
2025-02-12T07:00,-0.9
2025-02-12T08:00,-0.8
2025-02-12T09:00,-1.0
2025-02-12T10:00,-0.8
2025-02-12T11:00,-0.8
2025-02-12T12:00,-0.4
2025-02-12T13:00,-0.4
2025-02-12T14:00,-0.2
2025-02-12T15:00,0.2
2025-02-12T16:00,0.2
2025-02-12T17:00,0.6
2025-02-12T18:00,0.8
2025-02-12T19:00,0.9
2025-02-12T20:00,0.8
2025-02-12T21:00,0.9
2025-02-12T22:00,0.8
2025-02-12T23:00,0.8
2025-02-13T00:00,0.1
2025-02-13T01:00,0.4
2025-02-13T02:00,0.7
2025-02-13T03:00,0.9
2025-02-13T04:00,1.4
2025-02-13T05:00,2.4
2025-02-13T06:00,3.0
2025-02-13T07:00,3.5
2025-02-13T08:00,3.8
2025-02-13T09:00,4.2
2025-02-13T10:00,4.4
2025-02-13T11:00,4.6
2025-02-13T12:00,4.9
2025-02-13T13:00,5.1
2025-02-13T14:00,6.2
2025-02-13T15:00,7.1
2025-02-13T16:00,7.4
2025-02-13T17:00,8.5
2025-02-13T18:00,9.7
2025-02-13T19:00,10.7
2025-02-13T20:00,11.1
2025-02-13T21:00,8.3
2025-02-13T22:00,5.4
2025-02-13T23:00,2.9
2025-02-14T00:00,1.4
2025-02-14T01:00,2.8
2025-02-14T02:00,2.0
2025-02-14T03:00,1.3
2025-02-14T04:00,0.6
2025-02-14T05:00,0.1
2025-02-14T06:00,-0.2
2025-02-14T07:00,-0.4
2025-02-14T08:00,-0.5
2025-02-14T09:00,-0.7
2025-02-14T10:00,-1.0
2025-02-14T11:00,-1.1
2025-02-14T12:00,-1.4
2025-02-14T13:00,-1.5
2025-02-14T14:00,-1.5
2025-02-14T15:00,-1.2
2025-02-14T16:00,-0.4
2025-02-14T17:00,0.1
2025-02-14T18:00,0.3
2025-02-14T19:00,0.4
2025-02-14T20:00,0.7
2025-02-14T21:00,0.6
2025-02-14T22:00,0.0
2025-02-14T23:00,-0.6
2025-02-15T00:00,-1.0
2025-02-15T01:00,-1.4
2025-02-15T02:00,-1.7
2025-02-15T03:00,-1.9
2025-02-15T04:00,-2.0
2025-02-15T05:00,-2.1
2025-02-15T06:00,-2.0
2025-02-15T07:00,-2.1
2025-02-15T08:00,-2.1
2025-02-15T09:00,-2.0
2025-02-15T10:00,-1.8
2025-02-15T11:00,-1.5
2025-02-15T12:00,-0.9
2025-02-15T13:00,-0.3
2025-02-15T14:00,0.3
2025-02-15T15:00,0.7
2025-02-15T16:00,0.0
2025-02-15T17:00,-0.2
2025-02-15T18:00,-0.0
2025-02-15T19:00,0.3
2025-02-15T20:00,0.4
2025-02-15T21:00,0.4
2025-02-15T22:00,0.5
2025-02-15T23:00,0.7
2025-02-16T00:00,0.7
2025-02-16T01:00,1.2
2025-02-16T02:00,1.4
2025-02-16T03:00,1.6
2025-02-16T04:00,1.6
2025-02-16T05:00,1.5
2025-02-16T06:00,1.7
2025-02-16T07:00,1.6
2025-02-16T08:00,1.3
2025-02-16T09:00,1.5
2025-02-16T10:00,1.6
2025-02-16T11:00,2.4
2025-02-16T12:00,3.0
2025-02-16T13:00,3.0
2025-02-16T14:00,2.7
2025-02-16T15:00,2.3
2025-02-16T16:00,2.6
2025-02-16T17:00,4.4
2025-02-16T18:00,6.1
2025-02-16T19:00,8.5
2025-02-16T20:00,9.0
2025-02-16T21:00,9.1
2025-02-16T22:00,6.6
2025-02-16T23:00,4.7
2025-02-17T00:00,2.0
2025-02-17T01:00,1.1
2025-02-17T02:00,0.9
2025-02-17T03:00,0.8
2025-02-17T04:00,0.5
2025-02-17T05:00,0.2
2025-02-17T06:00,-0.1
2025-02-17T07:00,-0.5
2025-02-17T08:00,-1.0
2025-02-17T09:00,-1.4
2025-02-17T10:00,-1.7
2025-02-17T11:00,-2.0
2025-02-17T12:00,-2.1
2025-02-17T13:00,-2.0
2025-02-17T14:00,-1.8
2025-02-17T15:00,-1.6
2025-02-17T16:00,-1.5
2025-02-17T17:00,-1.5
2025-02-17T18:00,-1.5
2025-02-17T19:00,-1.6
2025-02-17T20:00,-1.6
2025-02-17T21:00,-1.8
2025-02-17T22:00,-2.2
2025-02-17T23:00,-2.8
2025-02-18T00:00,-3.3
2025-02-18T01:00,-3.9
2025-02-18T02:00,-4.4
2025-02-18T03:00,-5.0
2025-02-18T04:00,-5.7
2025-02-18T05:00,-6.3
2025-02-18T06:00,-6.8
2025-02-18T07:00,-7.2
2025-02-18T08:00,-7.4
2025-02-18T09:00,-7.6
2025-02-18T10:00,-7.9
2025-02-18T11:00,-8.0
2025-02-18T12:00,-8.1
2025-02-18T13:00,-7.9
2025-02-18T14:00,-7.6
2025-02-18T15:00,-7.1
2025-02-18T16:00,-6.2
2025-02-18T17:00,-5.2
2025-02-18T18:00,-4.3
2025-02-18T19:00,-3.7
2025-02-18T20:00,-3.3
2025-02-18T21:00,-3.2
2025-02-18T22:00,-3.5
2025-02-18T23:00,-4.1
